home,away,home shots,away shots,home goals,away goals
SJS,MIN,30,19,2,1
PIT,CGY,22,27,3,1
MTL,LAK,20,46,6,2
DET,FLA,31,26,2,3
EDM,ANA,23,20,2,4
BOS,OTT,31,31,2,3
PHI,CAR,23,26,5,1
BUF,FLA,32,28,4,3
TOR,DET,41,28,4,1
NYI,CHI,41,25,3,2
WSH,TBL,28,28,4,2
CBJ,PIT,27,36,4,3
WPG,ANA,28,31,1,4
DAL,NJD,36,31,4,3
ARI,MIN,30,35,3,4
COL,STL,25,42,2,3
VAN,NYR,30,23,1,5
SJS,NSH,34,29,2,0
TOR,LAK,31,36,4,3
CHI,CGY,28,24,2,1
EDM,NYR,16,22,0,2
NYI,NJD,33,28,3,2
PIT,TBL,26,30,4,2
PHI,TBL,24,23,1,3
TOR,ANA,27,42,6,2
MTL,CAR,29,26,4,1
DET,CBJ,30,29,0,1
FLA,WSH,29,24,2,1
STL,LAK,23,23,5,2
NSH,BOS,40,35,3,2
WPG,BUF,36,28,5,1
CHI,MIN,39,29,5,3
CGY,NYR,31,23,2,5
ARI,EDM,44,32,2,1
NJD,OTT,34,16,0,2
MIN,BOS,37,25,2,3
VAN,DAL,27,29,0,2
PHI,FLA,26,32,1,2
PIT,COL,48,29,1,0
CAR,TOR,37,26,4,1
CBJ,WSH,26,36,4,5
MTL,ANA,24,23,1,2
LAK,STL,37,28,6,4
SJS,EDM,30,28,4,3
NJD,TBL,18,28,3,2
OTT,ANA,31,34,6,2
DET,NYI,18,32,1,2
WPG,BOS,27,31,2,1
CGY,DAL,22,21,1,2
LAK,ARI,35,17,4,2
BUF,COL,29,23,1,5
TOR,PHI,25,42,4,7
MTL,OTT,29,25,4,1
NJD,WSH,21,21,0,4
NYI,TBL,48,21,3,1
PIT,FLA,34,46,3,1
CAR,NYR,20,34,2,3
CBJ,CHI,19,41,3,2
MIN,NSH,27,44,5,6
VAN,CGY,33,28,3,2
SJS,STL,30,20,3,2
DET,COL,35,23,1,2
